station_id	capacity	curUsable	targetUsable	curBroken
474	18	8	8	7
32	37	9	1	28
128	28	26	28	1
350	21	14	8	0
230	31	19	27	4
120	29	27	29	1
482	14	8	9	5
302	49	1	3	24
382	23	7	15	1
275	61	2	27	59
473	22	11	15	6
481	39	15	6	6
255	59	9	3	37
246	36	31	35	0
113	31	5	10	2
299	39	37	39	0
386	30	14	30	14
507	14	9	14	4
171	27	14	14	2
188	23	12	20	7
89	29	26	26	1
392	27	24	25	2
60	27	9	5	6
239	27	13	25	11
285	36	29	25	6
192	31	8	2	16
211	31	26	31	0
55	39	1	1	5
131	27	16	17	9
357	36	12	19	15
399	35	0	0	26
146	39	23	23	9
7	19	13	13	3
111	27	23	26	4
359	21	6	15	13
479	39	17	15	17
114	27	0	0	13
330	19	10	16	9
468	22	6	8	14
82	55	37	26	11
313	24	17	14	2
317	19	16	16	2
305	39	6	1	23
126	42	15	2	2
61	35	26	27	3
321	21	7	11	0
388	20	9	6	8
273	59	0	29	2
363	28	3	2	9
264	47	21	30	18
223	47	30	26	6
266	36	31	35	4
8	31	14	31	16
31	31	9	8	16
483	45	16	27	1
159	39	5	8	27
454	18	9	12	5
487	39	1	1	37
137	55	2	14	42
441	59	32	41	9
