0.00	397.40	980.70	308.50	522.90	224.40	638.30	788.10	479.50	215.60	326.50
425.50	0.00	1115.50	514.70	783.30	267.10	919.20	901.80	707.00	426.10	618.30
886.90	1107.00	0.00	626.80	1021.10	957.30	465.20	256.90	609.50	789.40	647.20
303.40	533.90	719.80	0.00	665.90	352.20	450.20	527.20	276.20	200.60	111.70
588.70	790.60	1089.50	731.90	0.00	608.50	738.10	956.10	579.30	654.60	680.40
187.20	294.50	1005.90	359.70	599.40	0.00	739.00	792.20	552.00	204.00	413.30
628.20	946.50	500.90	436.30	722.60	720.00	0.00	343.70	294.30	558.80	404.90
698.40	938.90	323.10	438.30	832.60	769.40	353.20	0.00	421.00	601.50	458.70
501.20	716.50	703.60	291.80	636.10	534.80	324.70	520.90	0.00	389.10	296.10
194.00	415.20	868.00	235.20	640.80	184.50	600.60	654.30	427.50	0.00	277.30
318.50	604.40	690.80	77.90	628.40	404.60	412.70	498.20	247.20	242.90	0.00
