station_id	capacity	curUsable	targetUsable	curBroken
152	42	5	8	13
25	30	26	26	3
165	31	28	31	0
344	31	17	17	1
270	53	33	20	13
484	7	0	5	6
435	39	32	38	0
494	29	3	15	12
382	23	7	15	14
228	57	1	15	37
423	31	4	17	24
394	34	7	11	2
19	23	18	16	4
335	27	15	23	8
332	23	10	9	11
274	39	6	14	5
3	27	15	19	6
390	31	21	18	7
190	55	3	30	22
62	24	21	24	2
294	27	25	20	1
193	47	7	1	18
32	37	9	1	6
408	47	4	8	1
487	39	1	1	15
180	23	21	23	0
512	14	0	14	11
138	39	2	15	29
392	27	24	25	0
195	27	7	2	6
388	20	9	6	1
483	45	16	27	14
453	22	8	9	11
457	18	9	10	5
61	35	26	27	1
55	39	1	1	28
144	33	26	33	5
372	27	11	10	0
184	31	15	13	0
340	23	11	16	11
288	50	1	13	19
72	59	1	3	48
131	27	16	17	10
51	55	1	27	35
431	55	23	38	25
172	15	12	11	0
154	36	5	3	6
290	29	10	8	13
316	27	17	16	1
233	47	0	4	45
396	23	8	12	2
89	29	26	26	2
348	27	6	14	17
326	23	6	9	9
488	31	0	13	11
376	24	17	22	3
80	27	15	24	7
128	28	26	28	0
102	31	20	12	8
329	19	5	15	9
275	61	2	27	24
439	43	26	36	16
136	36	24	24	2
355	25	10	15	11
22	45	2	15	8
215	35	6	14	25
123	35	5	13	17
59	31	17	17	11
464	26	16	9	8
121	23	16	6	5
491	37	25	33	6
477	18	6	5	11
146	39	23	23	11
199	47	2	4	29
264	47	21	30	19
495	31	2	12	8
369	39	11	23	5
28	23	6	14	7
149	19	12	11	1
276	39	1	8	12
125	35	3	1	14
282	59	20	27	2
249	53	1	1	49
489	33	20	31	5
492	19	9	14	5
40	23	14	13	2
441	59	32	41	22
428	67	11	52	0
250	49	9	6	22
162	31	13	9	13
258	52	1	2	48
197	39	35	38	1
122	23	13	15	7
133	43	19	17	3
437	63	47	50	7
252	35	13	10	9
438	31	10	29	5
46	23	2	1	12
124	27	23	23	2
482	14	8	9	2
191	39	6	7	30
255	59	9	3	36
425	59	34	59	11
286	39	23	34	1
500	22	0	7	5
474	18	8	8	7
467	26	10	19	1
324	19	6	7	8
268	33	26	24	3
159	39	5	8	14
205	51	1	16	6
181	29	13	10	1
44	23	14	20	1
45	20	16	18	3
309	33	8	19	6
325	23	7	17	15
262	45	39	37	0
29	39	16	23	9
432	31	23	29	2
244	39	1	11	10
151	47	16	7	27
272	31	5	8	5
189	19	14	14	0
342	24	14	17	6
444	30	3	1	21
225	35	2	3	7
263	36	0	7	20
84	23	22	21	0
347	33	16	21	7
132	23	16	8	1
140	57	0	26	10
422	31	2	26	25
212	31	6	16	1
513	14	0	14	11
224	39	1	17	5
92	36	28	33	0
283	39	6	21	23
386	30	14	30	4
412	39	34	37	0
179	35	33	33	0
414	55	37	55	5
166	32	28	32	1
362	27	5	2	14
395	35	16	16	16
232	38	35	38	1
352	25	12	11	11
81	35	15	16	3
327	18	13	16	1
508	14	7	11	2
245	39	0	10	10
478	27	21	10	4
17	29	3	9	3
419	39	1	15	0
297	15	7	3	2
99	33	1	6	9
230	31	19	27	0
407	59	4	31	21
493	39	34	21	2
406	59	9	15	26
216	39	2	2	20
433	59	42	31	2
134	23	15	19	4
314	19	9	3	8
156	31	21	20	7
363	28	3	2	8
358	19	9	15	5
318	21	13	14	4
476	18	4	8	6
88	37	9	12	9
42	31	12	7	4
129	39	7	5	30
251	34	0	5	23
36	39	34	36	2
139	43	32	42	4
8	31	14	31	4
401	41	22	41	1
349	24	16	21	4
279	57	1	3	47
446	22	1	6	13
254	47	8	4	25
341	19	10	13	3
20	35	6	16	22
111	27	23	26	3
71	31	5	12	6
208	42	37	42	2
317	19	16	16	1
91	41	5	8	4
241	39	34	32	0
336	19	8	7	7
213	59	4	36	10
323	23	9	14	3
259	43	16	40	12
480	55	2	5	13
66	31	22	23	2
174	41	2	16	5
239	27	13	25	2
12	19	12	10	6
173	42	36	36	0
160	35	6	3	10
26	45	3	20	32
306	36	10	13	9
461	18	7	8	9
143	31	18	25	1
23	47	6	1	12
206	23	10	14	8
242	35	29	27	0
78	24	20	20	1
410	59	50	46	4
39	31	8	3	12
69	19	13	12	4
188	23	12	20	5
312	47	35	26	2
74	43	34	35	1
137	55	2	14	4
256	30	0	8	2
398	31	3	17	8
21	47	5	11	14
90	27	14	23	12
403	47	2	23	21
209	39	5	8	1
436	27	17	27	2
235	47	5	19	30
60	27	9	5	13
107	39	5	8	31
221	23	17	23	1
303	24	11	9	3
391	27	18	2	1
418	31	8	13	12
105	35	12	20	14
313	24	17	14	3
93	31	21	30	5
265	24	19	22	0
79	35	11	21	2
253	25	19	24	3
373	24	7	13	1
35	23	12	6	2
153	39	28	26	4
427	43	9	24	28
106	27	24	23	0
496	39	24	15	1
68	25	2	4	3
350	21	14	8	0
413	31	30	29	0
320	18	9	18	1
229	37	23	27	4
57	27	21	23	3
486	31	13	6	6
402	31	2	5	5
338	24	22	18	1
2	33	4	2	27
421	47	24	42	20
451	18	5	8	2
339	25	17	8	5
1	39	21	33	9
96	29	2	4	10
211	31	26	31	1
247	41	14	30	0
186	23	15	10	3
220	49	2	1	5
465	22	8	15	10
387	45	10	6	17
343	27	8	12	15
73	27	15	18	2
300	36	6	2	15
24	51	1	1	11
442	23	14	10	1
9	30	10	8	1
285	36	29	25	4
516	14	11	7	1
426	39	20	28	6
54	23	17	19	1
517	18	9	13	7
119	19	16	19	0
169	27	16	26	8
440	63	32	52	24
113	31	5	10	2
126	42	15	2	19
389	27	14	11	2
95	23	17	14	0
178	19	9	9	7
182	24	5	2	4
375	39	22	20	8
505	43	1	11	40
292	31	17	15	9
82	55	37	26	0
351	23	5	15	11
511	14	2	3	8
248	59	10	8	32
49	27	7	5	14
416	42	3	29	38
284	41	10	4	1
210	31	2	15	13
155	39	29	29	3
13	39	2	16	31
367	43	11	24	26
192	31	8	2	8
196	31	20	30	10
148	27	14	20	12
452	18	12	6	3
103	39	11	12	9
383	34	23	29	0
33	55	3	3	35
164	32	19	5	2
510	14	3	12	2
305	39	6	1	26
31	31	9	8	16
219	31	5	8	11
185	23	7	7	15
497	15	11	8	3
287	43	26	30	3
509	14	6	11	2
429	51	20	20	16
365	23	9	22	3
360	31	5	5	14
280	39	6	21	32
298	27	13	22	1
330	19	10	16	7
118	27	25	27	0
201	24	11	9	0
34	23	0	1	0
141	49	30	24	3
