station_id	capacity	curUsable	targetUsable	curBroken
479	39	17	15	3
197	39	35	38	0
354	19	3	11	10
397	31	18	23	2
254	47	8	4	0
338	24	22	18	1
141	49	30	24	17
374	19	16	19	0
248	59	10	8	41
438	31	10	29	12
270	53	33	20	3
91	41	5	8	25
517	18	9	13	0
49	27	7	5	8
46	23	2	1	9
495	31	2	12	18
430	41	26	28	1
204	35	7	15	21
241	39	34	32	3
283	39	6	21	13
307	39	2	16	31
112	24	19	23	2
309	33	8	19	13
504	52	5	13	35
512	14	0	14	4
211	31	26	31	3
214	39	27	32	3
273	59	0	29	58
39	31	8	3	13
19	23	18	16	4
443	31	8	15	7
382	23	7	15	9
288	50	1	13	4
193	47	7	1	17
490	25	13	11	2
485	59	3	29	54
293	30	7	5	1
233	47	0	4	35
28	23	6	14	12
379	25	9	15	5
164	32	19	5	12
126	42	15	2	18
17	29	3	9	7
133	43	19	17	18
440	63	32	52	24
99	33	1	6	13
516	14	11	7	0
127	23	18	21	2
113	31	5	10	15
231	41	5	8	23
18	55	0	5	53
42	31	12	7	15
502	27	12	18	3
262	45	39	37	2
347	33	16	21	12
421	47	24	42	17
227	59	2	16	4
55	39	1	1	36
86	36	2	9	5
223	47	30	26	13
11	24	17	11	6
286	39	23	34	8
73	27	15	18	1
239	27	13	25	5
469	18	8	15	1
125	35	3	1	26
373	24	7	13	7
271	35	24	32	7
264	47	21	30	20
301	12	9	7	1
242	35	29	27	0
181	29	13	10	8
511	14	2	3	11
395	35	16	16	16
361	31	5	15	17
167	30	20	19	0
144	33	26	33	4
68	25	2	4	14
158	43	2	4	25
4	62	33	38	3
119	19	16	19	1
92	36	28	33	4
298	27	13	22	7
84	23	22	21	0
481	39	15	6	18
26	45	3	20	20
63	57	0	26	16
75	47	7	7	30
334	23	17	10	3
79	35	11	21	11
90	27	14	23	12
442	23	14	10	2
378	27	12	15	4
178	19	9	9	7
142	27	17	16	0
235	47	5	19	20
76	19	12	13	3
292	31	17	15	2
404	43	14	34	20
67	19	13	13	5
436	27	17	27	8
107	39	5	8	15
124	27	23	23	0
206	23	10	14	10
384	35	24	18	2
267	51	1	1	46
225	35	2	3	19
280	39	6	21	31
110	39	1	6	3
423	31	4	17	22
210	31	2	15	20
102	31	20	12	10
405	55	51	55	1
72	59	1	3	57
369	39	11	23	18
81	35	15	16	17
304	35	27	33	4
480	55	2	5	24
483	45	16	27	21
137	55	2	14	20
229	37	23	27	1
9	30	10	8	16
117	24	23	24	0
162	31	13	9	4
272	31	5	8	0
282	59	20	27	35
291	39	7	13	14
215	35	6	14	5
467	26	10	19	8
220	49	2	1	44
305	39	6	1	20
435	39	32	38	1
35	23	12	6	2
515	26	0	26	18
468	22	6	8	7
445	14	2	3	1
34	23	0	1	11
240	25	13	12	7
129	39	7	5	24
31	31	9	8	11
65	23	21	23	1
285	36	29	25	4
389	27	14	11	11
300	36	6	2	9
89	29	26	26	0
138	39	2	15	12
106	27	24	23	1
40	23	14	13	1
20	35	6	16	9
447	42	2	18	9
505	43	1	11	6
426	39	20	28	1
420	39	13	29	0
477	18	6	5	8
51	55	1	27	33
380	33	15	13	4
509	14	6	11	7
368	19	5	17	7
69	19	13	12	5
294	27	25	20	0
1	39	21	33	7
44	23	14	20	4
23	47	6	1	3
321	21	7	11	11
166	32	28	32	1
221	23	17	23	0
208	42	37	42	1
452	18	12	6	5
422	31	2	26	6
156	31	21	20	9
444	30	3	1	16
108	23	5	3	6
339	25	17	8	6
390	31	21	18	5
353	30	7	16	4
459	18	4	13	11
342	24	14	17	0
434	35	18	22	15
400	51	2	11	35
352	25	12	11	11
101	27	12	15	0
417	37	8	16	0
392	27	24	25	2
24	51	1	1	18
407	59	4	31	4
275	61	2	27	4
359	21	6	15	1
287	43	26	30	4
345	33	3	13	26
25	30	26	26	2
416	42	3	29	32
364	18	6	6	11
186	23	15	10	6
336	19	8	7	10
213	59	4	36	30
381	27	11	13	3
53	39	6	1	7
290	29	10	8	14
394	34	7	11	26
260	30	27	30	1
