station_id	capacity	curUsable	targetUsable	curBroken
368	19	5	17	6
146	39	23	23	5
101	27	12	15	3
130	36	1	0	28
118	27	25	27	1
53	39	6	1	23
433	59	42	31	8
198	27	13	7	0
387	45	10	6	19
403	47	2	23	22
281	39	2	17	8
43	31	21	25	4
481	39	15	6	21
338	24	22	18	0
297	15	7	3	3
372	27	11	10	2
477	18	6	5	9
202	13	0	0	12
122	23	13	15	6
328	23	7	18	1
72	59	1	3	12
206	23	10	14	4
489	33	20	31	3
13	39	2	16	7
452	18	12	6	5
412	39	34	37	3
201	24	11	9	8
197	39	35	38	1
339	25	17	8	3
324	19	6	7	9
181	29	13	10	14
238	31	11	25	9
258	52	1	2	40
196	31	20	30	2
509	14	6	11	1
441	59	32	41	18
120	29	27	29	1
94	31	24	25	6
444	30	3	1	2
184	31	15	13	9
421	47	24	42	11
295	38	5	6	2
69	19	13	12	4
214	39	27	32	1
408	47	4	8	6
321	21	7	11	0
291	39	7	13	29
27	28	5	0	7
97	43	5	15	13
465	22	8	15	6
159	39	5	8	5
54	23	17	19	4
266	36	31	35	3
134	23	15	19	7
420	39	13	29	5
105	35	12	20	10
343	27	8	12	2
515	26	0	26	13
506	31	27	19	3
229	37	23	27	13
306	36	10	13	24
342	24	14	17	6
270	53	33	20	16
327	18	13	16	1
358	19	9	15	8
33	55	3	3	49
167	30	20	19	3
34	23	0	1	5
139	43	32	42	4
341	19	10	13	8
47	27	3	0	6
363	28	3	2	13
479	39	17	15	7
346	24	18	10	2
48	40	1	0	20
177	23	16	22	4
436	27	17	27	1
125	35	3	1	3
334	23	17	10	1
401	41	22	41	2
87	33	1	0	3
137	55	2	14	39
132	23	16	8	6
331	21	7	16	1
160	35	6	3	10
144	33	26	33	1
352	25	12	11	12
304	35	27	33	4
3	27	15	19	0
225	35	2	3	9
49	27	7	5	4
64	27	3	3	12
373	24	7	13	16
199	47	2	4	33
354	19	3	11	13
85	31	7	3	19
442	23	14	10	2
376	24	17	22	6
428	67	11	52	24
389	27	14	11	5
209	39	5	8	28
272	31	5	8	7
397	31	18	23	2
65	23	21	23	1
425	59	34	59	8
347	33	16	21	11
246	36	31	35	3
62	24	21	24	0
79	35	11	21	3
80	27	15	24	5
269	27	7	20	4
443	31	8	15	3
284	41	10	4	5
11	24	17	11	4
261	29	3	0	4
38	31	24	28	0
2	33	4	2	1
288	50	1	13	46
274	39	6	14	15
423	31	4	17	7
77	20	16	20	0
58	24	14	21	4
300	36	6	2	16
424	39	25	36	9
93	31	21	30	7
67	19	13	13	4
14	33	3	0	29
458	18	5	18	8
438	31	10	29	0
414	55	37	55	7
1	39	21	33	8
237	31	29	27	0
70	36	8	23	25
350	21	14	8	6
187	23	17	18	1
138	39	2	15	24
285	36	29	25	5
16	33	4	7	16
61	35	26	27	3
382	23	7	15	12
256	30	0	8	1
215	35	6	14	17
63	57	0	26	12
108	23	5	3	8
135	27	1	10	9
483	45	16	27	3
385	27	20	14	0
126	42	15	2	15
484	7	0	5	2
161	27	14	11	0
480	55	2	5	16
140	57	0	26	34
192	31	8	2	14
117	24	23	24	0
496	39	24	15	4
454	18	9	12	5
264	47	21	30	14
89	29	26	26	0
314	19	9	3	3
367	43	11	24	27
493	39	34	21	3
163	31	10	9	6
68	25	2	4	2
218	39	1	20	15
250	49	9	6	21
194	31	28	30	2
40	23	14	13	6
381	27	11	13	10
514	14	0	0	3
333	20	15	17	2
416	42	3	29	29
302	49	1	3	12
322	23	17	15	5
475	18	6	0	7
508	14	7	11	4
75	47	7	7	10
317	19	16	16	2
466	26	4	15	3
365	23	9	22	2
95	23	17	14	2
499	43	4	10	31
21	47	5	11	4
176	37	22	9	8
402	31	2	5	7
200	27	14	21	12
320	18	9	18	5
460	14	5	8	1
404	43	14	34	11
226	34	31	33	2
283	39	6	21	6
28	23	6	14	6
485	59	3	29	23
36	39	34	36	2
147	35	12	23	6
362	27	5	2	21
188	23	12	20	6
37	39	36	39	1
20	35	6	16	5
491	37	25	33	3
471	22	8	18	10
318	21	13	14	6
353	30	7	16	14
51	55	1	27	49
42	31	12	7	6
279	57	1	3	22
223	47	30	26	14
383	34	23	29	6
400	51	2	11	47
100	39	10	6	6
113	31	5	10	16
180	23	21	23	0
153	39	28	26	8
307	39	2	16	20
411	47	29	36	14
158	43	2	4	34
419	39	1	15	14
253	25	19	24	2
207	52	0	0	24
116	37	3	0	13
23	47	6	1	8
255	59	9	3	42
513	14	0	14	2
494	29	3	15	15
379	25	9	15	4
437	63	47	50	8
366	39	5	10	27
204	35	7	15	17
251	34	0	5	23
359	21	6	15	10
388	20	9	6	10
190	55	3	30	24
393	23	8	10	5
490	25	13	11	3
99	33	1	6	7
498	29	18	18	3
239	27	13	25	7
170	31	24	17	0
133	43	19	17	14
516	14	11	7	2
111	27	23	26	0
308	43	2	15	6
185	23	7	7	6
470	22	1	7	10
263	36	0	7	20
356	25	4	11	12
447	42	2	18	2
45	20	16	18	2
348	27	6	14	7
10	46	0	0	8
451	18	5	8	6
90	27	14	23	4
242	35	29	27	1
189	19	14	14	3
299	39	37	39	0
136	36	24	24	8
157	29	4	9	16
501	37	1	8	25
345	33	3	13	14
325	23	7	17	14
106	27	24	23	2
121	23	16	6	2
449	18	5	7	2
474	18	8	8	3
156	31	21	20	4
210	31	2	15	11
267	51	1	1	44
316	27	17	16	5
268	33	26	24	4
319	19	13	14	0
152	42	5	8	32
500	22	0	7	11
115	36	29	23	5
71	31	5	12	3
112	24	19	23	0
44	23	14	20	8
83	37	36	37	0
406	59	9	15	8
370	27	5	12	18
213	59	4	36	18
245	39	0	10	13
323	23	9	14	13
76	19	12	13	1
57	27	21	23	2
455	14	9	4	4
107	39	5	8	4
375	39	22	20	16
446	22	1	6	14
445	14	2	3	8
432	31	23	29	6
155	39	29	29	7
235	47	5	19	5
227	59	2	16	4
233	47	0	4	21
173	42	36	36	1
457	18	9	10	6
243	44	0	2	43
399	35	0	0	33
114	27	0	0	9
211	31	26	31	0
380	33	15	13	1
418	31	8	13	5
60	27	9	5	16
518	14	0	0	12
179	35	33	33	1
171	27	14	14	2
29	39	16	23	3
503	31	6	0	18
169	27	16	26	5
110	39	1	6	25
464	26	16	9	2
131	27	16	17	8
174	41	2	16	7
463	18	2	0	10
254	47	8	4	9
287	43	26	30	5
355	25	10	15	7
311	25	10	14	4
73	27	15	18	5
5	39	11	15	15
315	19	16	4	0
330	19	10	16	5
8	31	14	31	13
391	27	18	2	4
92	36	28	33	0
289	31	1	0	6
86	36	2	9	8
257	36	0	10	6
148	27	14	20	9
303	24	11	9	3
505	43	1	11	20
82	55	37	26	6
313	24	17	14	4
32	37	9	1	10
17	29	3	9	25
41	23	10	18	4
344	31	17	17	3
413	31	30	29	0
109	31	3	0	26
81	35	15	16	18
248	59	10	8	23
203	32	2	0	2
478	27	21	10	2
231	41	5	8	20
234	37	7	13	6
259	43	16	40	0
502	27	12	18	10
212	31	6	16	2
98	27	25	25	0
426	39	20	28	10
497	15	11	8	2
378	27	12	15	14
390	31	21	18	5
178	19	9	9	4
175	34	19	16	8
143	31	18	25	8
384	35	24	18	5
165	31	28	31	2
193	47	7	1	23
427	43	9	24	6
286	39	23	34	0
417	37	8	16	6
252	35	13	10	6
510	14	3	12	10
453	22	8	9	7
472	21	12	13	0
280	39	6	21	1
473	22	11	15	7
504	52	5	13	32
102	31	20	12	1
305	39	6	1	17
74	43	34	35	1
183	42	3	3	21
507	14	9	14	2
88	37	9	12	16
293	30	7	5	21
127	23	18	21	3
431	55	23	38	10
96	29	2	4	24
309	33	8	19	4
31	31	9	8	4
467	26	10	19	11
172	15	12	11	1
236	59	9	7	2
422	31	2	26	7
357	36	12	19	18
337	27	20	17	2
91	41	5	8	1
240	25	13	12	0
6	19	12	13	5
220	49	2	1	19
486	31	13	6	15
405	55	51	55	1
241	39	34	32	3
228	57	1	15	51
296	30	11	0	7
22	45	2	15	38
154	36	5	3	2
142	27	17	16	3
275	61	2	27	29
332	23	10	9	9
336	19	8	7	2
9	30	10	8	12
312	47	35	26	7
216	39	2	2	9
459	18	4	13	9
221	23	17	23	1
66	31	22	23	1
277	51	1	2	27
469	18	8	15	8
456	34	3	9	1
260	30	27	30	1
476	18	4	8	3
249	53	1	1	1
