0.00	78.10	926.40	485.20	314.50	255.10	459.20	359.00	245.00	175.80	804.60
157.80	0.00	942.80	461.50	309.50	332.70	502.40	375.40	311.50	213.20	849.80
949.40	990.00	0.00	1047.70	910.00	816.80	591.70	721.40	769.20	860.10	200.80
543.80	481.20	1017.90	0.00	661.70	625.00	589.10	445.70	694.20	595.90	927.50
276.20	250.70	936.00	652.70	0.00	392.50	426.90	580.10	245.30	187.20	764.80
183.60	247.70	770.50	541.60	394.80	0.00	298.40	242.50	200.20	246.60	643.80
428.90	485.80	525.40	567.00	388.70	309.20	0.00	262.50	247.90	339.60	383.80
388.90	416.50	659.90	477.40	568.80	275.10	231.10	0.00	374.20	427.60	569.50
272.40	316.30	796.60	730.60	233.00	247.50	296.20	426.10	0.00	174.80	655.00
167.60	186.40	836.50	603.20	186.50	258.10	349.50	445.70	135.80	0.00	708.80
753.30	790.50	251.50	891.40	713.10	633.60	394.80	586.90	572.30	664.00	0.00
