0.00	204.10	419.40	782.70	299.00	397.40	128.10	327.20	481.00	279.10	255.10
150.20	0.00	285.00	657.40	376.10	492.90	112.60	190.20	373.80	356.20	118.10
355.40	251.90	0.00	529.10	410.20	576.60	328.50	313.10	180.90	418.30	252.90
736.50	606.00	491.50	0.00	766.90	950.90	698.90	551.30	431.20	819.90	616.80
539.90	656.20	622.30	935.90	0.00	310.50	614.10	779.30	668.40	337.10	657.00
425.50	546.70	603.60	890.70	218.90	0.00	480.50	669.80	649.70	247.20	597.70
109.50	114.00	320.70	706.20	297.60	452.20	0.00	237.10	389.50	277.70	165.00
362.70	212.50	357.00	569.40	531.00	682.00	325.10	0.00	284.20	511.10	223.30
451.20	320.70	171.80	451.90	506.90	673.30	413.60	283.40	0.00	517.40	331.50
296.70	413.00	478.50	754.30	112.50	300.00	370.90	536.10	524.60	0.00	413.70
183.60	33.40	303.20	633.60	394.10	526.30	146.00	158.50	350.00	374.20	0.00
