station_id	capacity	curUsable	targetUsable	curBroken
190	55	3	30	46
409	46	23	24	19
287	43	26	30	16
398	31	3	17	3
253	25	19	24	1
45	20	16	18	1
279	57	1	3	32
120	29	27	29	0
307	39	2	16	16
487	39	1	1	16
266	36	31	35	0
332	23	10	9	7
98	27	25	25	0
495	31	2	12	6
24	51	1	1	11
107	39	5	8	25
351	23	5	15	15
432	31	23	29	4
361	31	5	15	23
291	39	7	13	21
167	30	20	19	0
99	33	1	6	15
7	19	13	13	4
210	31	2	15	9
450	14	4	7	5
112	24	19	23	0
234	37	7	13	11
254	47	8	4	15
451	18	5	8	1
258	52	1	2	14
268	33	26	24	3
171	27	14	14	1
137	55	2	14	44
31	31	9	8	20
239	27	13	25	8
471	22	8	18	5
146	39	23	23	8
225	35	2	3	14
434	35	18	22	12
418	31	8	13	2
448	22	4	14	17
12	19	12	10	6
46	23	2	1	0
337	27	20	17	5
194	31	28	30	2
275	61	2	27	22
315	19	16	4	2
58	24	14	21	7
474	18	8	8	9
2	33	4	2	10
446	22	1	6	16
303	24	11	9	1
265	24	19	22	4
363	28	3	2	15
26	45	3	20	28
323	23	9	14	3
405	55	51	55	2
106	27	24	23	2
305	39	6	1	29
147	35	12	23	16
497	15	11	8	2
100	39	10	6	10
91	41	5	8	32
175	34	19	16	4
144	33	26	33	2
53	39	6	1	15
248	59	10	8	45
285	36	29	25	3
466	26	4	15	2
186	23	15	10	4
169	27	16	26	8
218	39	1	20	31
85	31	7	3	1
37	39	36	39	2
162	31	13	9	1
408	47	4	8	26
429	51	20	20	14
177	23	16	22	0
312	47	35	26	9
213	59	4	36	20
311	25	10	14	0
436	27	17	27	0
262	45	39	37	4
485	59	3	29	27
335	27	15	23	9
423	31	4	17	5
435	39	32	38	0
228	57	1	15	7
264	47	21	30	16
364	18	6	6	11
166	32	28	32	2
38	31	24	28	1
338	24	22	18	0
293	30	7	5	16
249	53	1	1	29
196	31	20	30	3
301	12	9	7	1
20	35	6	16	2
149	19	12	11	1
153	39	28	26	8
326	23	6	9	7
283	39	6	21	15
233	47	0	4	27
292	31	17	15	10
403	47	2	23	9
90	27	14	23	4
57	27	21	23	3
55	39	1	1	24
462	18	9	17	6
478	27	21	10	3
128	28	26	28	1
342	24	14	17	3
452	18	12	6	3
102	31	20	12	8
212	31	6	16	1
164	32	19	5	5
352	25	12	11	5
188	23	12	20	8
70	36	8	23	0
62	24	21	24	1
96	29	2	4	22
255	59	9	3	13
387	45	10	6	11
320	18	9	18	0
242	35	29	27	1
302	49	1	3	18
197	39	35	38	2
391	27	18	2	5
427	43	9	24	9
442	23	14	10	1
51	55	1	27	8
413	31	30	29	0
371	27	7	19	17
41	23	10	18	11
304	35	27	33	3
280	39	6	21	10
22	45	2	15	18
380	33	15	13	2
179	35	33	33	0
208	42	37	42	4
480	55	2	5	24
173	42	36	36	5
465	22	8	15	2
340	23	11	16	5
192	31	8	2	12
42	31	12	7	1
410	59	50	46	0
370	27	5	12	20
241	39	34	32	3
252	35	13	10	15
229	37	23	27	8
205	51	1	16	19
502	27	12	18	6
455	14	9	4	0
201	24	11	9	8
426	39	20	28	15
424	39	25	36	13
78	24	20	20	0
168	25	22	21	0
389	27	14	11	1
204	35	7	15	12
115	36	29	23	3
105	35	12	20	18
50	33	19	20	6
103	39	11	12	8
272	31	5	8	22
395	35	16	16	16
165	31	28	31	0
428	67	11	52	25
481	39	15	6	2
416	42	3	29	27
498	29	18	18	6
231	41	5	8	22
333	20	15	17	4
367	43	11	24	1
313	24	17	14	4
500	22	0	7	5
331	21	7	16	13
443	31	8	15	13
221	23	17	23	5
501	37	1	8	7
71	31	5	12	25
274	39	6	14	18
308	43	2	15	35
378	27	12	15	12
341	19	10	13	8
317	19	16	16	0
230	31	19	27	7
488	31	0	13	26
36	39	34	36	1
402	31	2	5	9
