0.00	782.70	206.00	163.30	312.10	822.80	136.90	274.00	430.20	131.70	513.60	885.20	328.60	776.40	868.90	678.30
736.50	0.00	559.80	620.60	691.80	258.50	815.60	636.80	1018.40	710.60	577.10	301.50	757.00	172.90	225.70	874.80
251.30	622.60	0.00	185.10	263.80	655.90	352.30	285.10	622.70	241.00	408.50	718.30	336.60	604.60	697.10	674.60
204.00	719.20	202.80	0.00	431.60	747.60	232.00	198.80	531.80	262.60	438.40	810.00	459.50	701.20	793.70	635.30
305.50	700.10	278.50	400.60	0.00	841.20	305.90	510.10	433.50	230.90	535.40	884.20	147.40	755.60	848.10	878.10
764.30	240.90	587.60	648.40	719.60	0.00	813.40	606.80	1073.90	745.30	511.30	207.50	812.50	96.00	171.40	868.40
185.30	841.40	313.70	251.30	339.50	839.70	0.00	314.40	368.40	189.20	530.50	902.10	336.10	798.20	919.10	693.40
211.80	699.60	202.60	95.90	431.40	692.20	259.70	0.00	559.50	270.40	383.00	754.60	467.30	650.70	771.60	576.90
492.60	957.80	553.30	582.80	378.00	1066.00	370.50	655.30	0.00	429.20	760.20	1109.00	286.50	980.40	1072.90	994.80
107.40	731.50	207.10	202.50	260.90	844.50	182.10	327.50	466.60	0.00	549.50	898.30	277.40	769.70	862.20	730.10
515.10	558.60	348.10	399.20	449.70	525.60	552.00	345.40	818.40	496.90	0.00	588.00	572.80	484.10	605.00	607.00
922.40	351.60	745.70	806.50	879.70	224.20	965.90	759.30	1248.40	926.90	663.80	0.00	1000.60	240.80	182.00	1020.90
312.60	678.10	291.10	407.70	142.70	819.70	310.40	530.80	335.90	233.50	605.00	881.60	0.00	744.50	845.50	884.90
736.80	200.90	560.10	620.90	692.10	138.50	815.90	619.00	1060.80	739.30	523.50	181.50	813.00	0.00	145.40	875.10
894.00	242.50	717.30	778.10	849.30	235.90	973.10	794.30	1181.60	873.80	707.10	168.40	920.20	244.80	0.00	1032.30
717.20	922.60	672.10	601.30	896.20	888.60	747.70	541.10	1033.80	753.30	601.70	951.00	915.10	847.10	968.00	0.00
