0.00	653.90	147.00	554.10	261.50	380.00	686.70	656.90	197.60	265.90	314.00
691.00	0.00	693.80	831.50	821.80	555.10	51.40	696.50	763.70	787.90	511.50
108.60	664.80	0.00	577.50	284.90	373.70	697.60	635.40	204.20	301.40	307.70
504.60	808.30	599.00	0.00	473.10	351.40	841.10	408.60	551.50	447.60	486.30
174.70	717.90	263.70	518.60	0.00	432.90	750.70	724.50	127.20	273.60	400.90
414.00	525.40	465.40	378.00	461.20	0.00	558.20	338.80	539.60	304.30	207.60
750.90	103.70	753.70	891.40	881.70	615.00	0.00	756.40	823.60	847.80	571.40
613.70	687.80	629.50	377.10	660.90	302.40	720.60	0.00	739.30	536.10	407.30
204.40	654.30	186.30	588.00	187.70	502.30	687.10	735.30	0.00	343.00	445.30
190.10	726.70	284.50	414.50	192.60	246.30	759.50	549.90	271.00	0.00	320.30
299.70	517.50	350.80	508.40	425.00	166.20	550.30	446.50	433.80	336.20	0.00
