station_id	capacity	curUsable	targetUsable	curBroken
218	39	1	20	36
126	42	15	2	22
198	27	13	7	9
354	19	3	11	5
417	37	8	16	10
140	57	0	26	5
402	31	2	5	17
26	45	3	20	36
442	23	14	10	5
192	31	8	2	0
224	39	1	17	2
187	23	17	18	1
242	35	29	27	6
188	23	12	20	7
169	27	16	26	6
75	47	7	7	23
261	29	3	0	26
216	39	2	2	33
352	25	12	11	8
265	24	19	22	5
459	18	4	13	2
229	37	23	27	14
17	29	3	9	11
395	35	16	16	19
301	12	9	7	3
52	31	9	24	21
446	22	1	6	13
231	41	5	8	13
344	31	17	17	0
428	67	11	52	31
96	29	2	4	22
517	18	9	13	1
251	34	0	5	24
449	18	5	7	12
152	42	5	8	3
196	31	20	30	2
21	47	5	11	34
509	14	6	11	0
343	27	8	12	1
250	49	9	6	9
179	35	33	33	1
397	31	18	23	13
335	27	15	23	9
308	43	2	15	8
351	23	5	15	17
316	27	17	16	9
294	27	25	20	2
109	31	3	0	28
31	31	9	8	10
183	42	3	3	6
358	19	9	15	6
55	39	1	1	10
501	37	1	8	11
507	14	9	14	4
332	23	10	9	13
503	31	6	0	1
202	13	0	0	0
185	23	7	7	16
437	63	47	50	1
283	39	6	21	26
246	36	31	35	1
163	31	10	9	16
349	24	16	21	0
57	27	21	23	2
22	45	2	15	11
167	30	20	19	8
389	27	14	11	3
10	46	0	0	46
380	33	15	13	11
241	39	34	32	0
371	27	7	19	20
333	20	15	17	5
86	36	2	9	14
269	27	7	20	11
262	45	39	37	4
441	59	32	41	16
375	39	22	20	15
18	55	0	5	25
329	19	5	15	9
201	24	11	9	6
131	27	16	17	1
62	24	21	24	3
88	37	9	12	27
103	39	11	12	23
382	23	7	15	8
64	27	3	3	14
475	18	6	0	5
356	25	4	11	6
247	41	14	30	25
481	39	15	6	1
